outcome_id,grade,scope,textbook,edition,chapter,lesson,source_url,source_locator,requirement_summary,representation_type,model_ids,template_ids,activity_ids,test_ids,reviewer,status,gap
wave.superposition,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,superposition,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:superposition,Superposition of two coherent waves,scalarField,wave_superposition,wave_superposition_canvas,wave_superposition_measurement,WaveFamilyPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
wave.water_surface,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,water-surface-interference,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:water-surface-interference,Water-surface interference,scalarField,water_surface_interference,water_surface_interference_canvas,water_surface_interference_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Scalar-field contract and point-source benchmark implemented; needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
wave.sound,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,sound,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:II. Sóng;lesson:sound,Acoustic pressure wave,scalarField,sound_wave,sound_wave_canvas,sound_pressure_measurement,WaveFamilyPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
thermal.temperature_heat,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,temperature-heat,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:temperature-heat,"Temperature, thermal expansion and calorimetry",timeseries,calorimetry_mixing,calorimetry_mixing_canvas,calorimetry_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
thermal.ideal_gas,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,ideal-gas-law,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:ideal-gas-law,Ideal gas state equation,timeseries,ideal_gas_isothermal,ideal_gas_isothermal_canvas,ideal_gas_measurement,IdealGasPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
thermal.first_law,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,first-law-thermodynamics,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:first-law-thermodynamics,"Work, heat and internal energy",timeseries,first_law_thermodynamics,first_law_thermodynamics_canvas,first_law_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
optics.refraction,11,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,optics,reflection-refraction,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:reflection-refraction,Reflection and Snell refraction,ray,snell_refraction,snell_refraction_canvas,refraction_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
optics.lens,11,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,optics,thin-lenses,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:thin-lenses,Thin-lens imaging,ray,thin_lens_imaging,thin_lens_imaging_canvas,thin_lens_measurement,ThinLensPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
optics.interference,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,optics,light-interference,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:light-interference,Light interference and diffraction,scalarField,light_interference|diffraction_polarization,light_interference_canvas|diffraction_polarization_canvas,light_interference_activity|diffraction_polarization_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
em.electric_field,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,electromagnetism,electric-field,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:III. Dien truong;lesson:electric-field,Electric field and potential,vectorField,point_charge_field,point_charge_field_canvas,electric_field_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
em.magnetic_force,12,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,electromagnetism,magnetic-force,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:magnetic-force",Magnetic force on charge/current,vectorField,magnetic_force,magnetic_force_canvas,magnetic_force_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
em.induction,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,electromagnetism,electromagnetic-induction,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:III. Từ trường và cảm ứng điện từ;lesson:electromagnetic-induction,Faraday induction and Lenz law,timeseries,electromagnetic_induction,electromagnetic_induction_canvas,induction_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
em.ac_rlc,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,electromagnetism,ac-rlc,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:ac-rlc,AC RLC impedance and power,timeseries,ac_rlc_circuit,ac_rlc_circuit_canvas,ac_rlc_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
modern.photoelectric,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,modern-physics,photoelectric-effect,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:photoelectric-effect,Photoelectric effect and photon energy,timeseries,photoelectric_effect,photoelectric_effect_canvas,photoelectric_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
modern.nuclear_decay,12,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,modern-physics,radioactive-decay,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:Chuyen de 11.2. Truyen thong tin bang song vo tuyen;lesson:radioactive-decay,Radioactive decay and half-life,timeseries,radioactive_decay,radioactive_decay_canvas,radioactive_decay_measurement,RadioactiveDecayPhysicsTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
modern.nuclear_energy,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,modern-physics,nuclear-energy,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:IV. Vật lí hạt nhân;lesson:nuclear-energy,Mass defect and nuclear energy,timeseries,nuclear_energy,nuclear_energy_canvas,nuclear_energy_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
